wavelength_nm,qe
400,0.0
410,0.0
420,0.0
430,18.5
440,43.0
450,39.0
460,59.0
470,80.0
480,80.0
490,61.0
500,42.0
510,23.0
520,5.0
530,0.0
540,0.0
550,0.0
560,0.0
570,0.0
580,0.0
590,2.5
600,2.7
610,2.8
620,2.8
630,2.8
640,2.7
650,1.5
660,0.8
670,0.2
680,0.0
690,0.0
700,0.0
