wavelength_nm,qe
400,0.0
410,0.0
420,1.0
430,2.0
440,3.0
450,2.5
460,1.5
470,0.5
480,0.0
490,0.0
500,0.0
510,0.0
520,0.0
530,0.0
540,0.0
550,0.0
560,60.0
570,100.0
580,97.0
590,80.0
600,63.0
610,48.0
620,36.0
630,20.0
640,20.0
650,8.0
660,3.0
670,0.5
680,0.0
690,0.0
700,0.0
