wavelength_nm,qe
400,0.0
410,0.0
420,0.8
430,1.5
440,2.5
450,2.8
460,2.8
470,2.8
480,3.0
490,4.2
500,8.0
510,14.0
520,25.0
530,42.0
540,55.0
550,63.0
560,63.0
570,57.0
580,45.0
590,33.0
600,15.0
610,7.0
620,3.5
630,2.5
640,2.0
650,1.5
660,1.0
670,0.5
680,0.0
690,0.0
700,0.0
